store_id,market,week_start,category,units_sold,revenue_eur,stock_opening,promo_flag,data_source
ST1380,DE,2024-09-15,hard_goods,36,688.15,45,0,ERP_v1
ST0838,HU,2024-04-21,,40,629.62,28,0,ERP_v2
ST0536,PL,2024-04-07,,17,960.91,290,1,ERP_v1
ST0218,PL,2024-04-07,,33,352.75,154,1,ERP_v2
ST1378,DE,2024-01-28,hard_goods,21,307.96,391,1,ERP_v2
ST1425,DE,2024-04-07,lingerie,9,790.16,64,1,ERP_v2
ST1124,DE,2024-01-07,home_textiles,48,2962.05,98,1,API
ST0421,SK,2024-08-18,home_textiles,88,605.92,51,0,ERP_v2
ST1330,PL,2024-02-25,fashion,40,1261.94,106,0,ERP_v2
ST1274,PL,2024-07-07,home_textiles,100,568.32,111,0,ERP_v2
ST0429,DE,2024-08-18,home_textiles,54,290.84,98,1,ERP_v2
ST1300,HU,2024-07-28,lingerie,19,953.0,168,1,ERP_v2
ST0315,CZ,2024-05-19,fashion,34,389.88,40,0,ERP_v2
ST0315,DE,2024-02-11,,149,306.89,61,0,ERP_v2
ST0090,DE,2024-01-07,hard_goods,19,912.2,169,0,ERP_v1
ST1419,DE,2024-03-03,hard_goods,35,959.36,36,0,ERP_v2
ST0439,DE,2024-08-11,hard_goods,73,2123.45,63,0,ERP_v2
ST1275,AT,2024-08-18,fashion,65,1411.55,408,0,ERP_v2
ST1260,DE,2024-05-05,lingerie,20,1094.59,81,0,ERP_v2
ST1101,DE,2024-09-15,fashion,157,1399.96,47,0,ERP_v2
ST0570,PL,2024-05-12,hard_goods,34,114.75,932,0,ERP_v2
ST0100,DE,2024-08-18,home_textiles,29,-486.65,64,0,MANUAL_UPLOAD
ST0891,DE,2024-02-04,hard_goods,19,827.6,55,1,MANUAL_UPLOAD
ST0812,DE,2024-03-24,home_textiles,96,1624.9,1160,0,ERP_v2
ST0998,AT,2024-01-07,fashion,12,177.1,102,0,ERP_v2
ST1485,CZ,2024-02-11,home_textiles,25,158.25,229,0,ERP_v1
ST1422,DE,2024-04-28,fashion,87,156.06,97,1,ERP_v1
ST0245,AT,2024-02-25,hard_goods,55,422.34,92,0,ERP_v2
ST1405,PL,2024-02-04,lingerie,127,902.51,156,0,ERP_v2
ST0052,DE,2024-09-01,lingerie,84,174.42,46,0,ERP_v2
ST0162,PL,2024-07-14,fashion,15,488.06,75,0,ERP_v1
ST1215,DE,2024-04-14,lingerie,49,996.3,26,0,ERP_v2
ST0122,DE,2024-07-14,hard_goods,12,604.1,125,0,ERP_v2
ST1435,HU,2024-06-16,hard_goods,54,180.57,239,1,ERP_v2
ST1014,HU,2024-06-30,hard_goods,14,1015.34,118,0,ERP_v2
ST0294,CZ,2024-02-25,home_textiles,33,1306.5,402,0,ERP_v2
ST0246,DE,2024-09-01,hard_goods,12,284.09,99,0,ERP_v2
ST1208,DE,2024-04-21,,22,451.63,74,0,ERP_v2
ST1473,PL,2024-02-18,lingerie,22,266.58,113,1,ERP_v2
ST0346,DE,2024-04-28,,29,4735.72,72,0,MANUAL_UPLOAD
ST1192,DE,2024-12-22,,67,626.09,115,0,ERP_v1
ST1429,AT,2024-09-01,hard_goods,18,378.9,80,0,MANUAL_UPLOAD
ST1440,DE,2024-08-04,fashion,13,833.46,26,1,ERP_v2
ST0601,SK,2024-02-18,lingerie,37,241.41,28,0,MANUAL_UPLOAD
ST0601,DE,2024-12-22,,61,839.31,118,0,ERP_v2
ST0036,PL,2024-01-21,fashion,28,723.95,93,0,ERP_v1
ST1040,DE,2024-05-05,,53,1543.09,226,0,ERP_v2
ST0206,AT,2024-07-07,home_textiles,30,170.4,72,1,MANUAL_UPLOAD
ST0674,AT,2024-04-28,home_textiles,28,697.42,74,0,ERP_v2
ST0881,DE,2024-08-11,home_textiles,60,816.53,91,0,ERP_v2
ST0712,HU,2024-03-17,hard_goods,84,448.57,131,0,ERP_v1
ST0987,CZ,2024-03-24,hard_goods,53,2878.82,227,1,ERP_v1
ST0423,,2024-11-17,lingerie,36,266.63,103,0,ERP_v2
ST0960,SK,2024-09-08,,11,700.09,46,0,ERP_v2
ST0205,PL,2024-03-24,hard_goods,33,290.18,53,1,ERP_v1
ST0157,HU,2024-03-24,lingerie,15,294.47,142,1,ERP_v2
ST1439,DE,2024-05-19,lingerie,43,3230.16,36,0,ERP_v2
ST0831,DE,2024-10-20,,23,446.6,107,0,ERP_v2
ST0299,DE,2024-01-21,fashion,115,887.23,46,1,API
ST0019,DE,2024-08-04,home_textiles,88,241.22,43,1,ERP_v2
ST0138,DE,2024-02-04,fashion,53,536.06,114,1,ERP_v2
ST0700,DE,2024-05-19,hard_goods,10,1166.33,75,0,MANUAL_UPLOAD
ST0043,CZ,2024-10-06,hard_goods,17,259.32,22,0,MANUAL_UPLOAD
ST0304,DE,2024-10-27,,79,480.63,78,0,ERP_v2
ST0296,DE,2024-11-24,fashion,29,1085.08,46,1,ERP_v1
ST1314,AT,2024-10-20,fashion,50,4151.86,57,0,ERP_v2
ST1390,DE,2024-01-07,,11,328.31,34,0,ERP_v2
ST0625,CZ,2024-03-17,,9,1104.28,95,0,ERP_v2
ST0369,DE,2024-11-10,hard_goods,26,1183.39,132,1,ERP_v2
ST1153,SI,2024-10-13,lingerie,53,1056.71,45,0,MANUAL_UPLOAD
ST1299,CZ,2024-09-08,hard_goods,10,435.29,158,1,MANUAL_UPLOAD
ST1281,DE,2024-08-04,home_textiles,57,301.72,92,0,ERP_v2
ST0376,DE,2024-06-16,hard_goods,50,2046.51,158,0,ERP_v2
ST1112,CZ,2024-04-14,home_textiles,80,196.3,102,0,ERP_v1
ST0964,PL,2024-01-14,lingerie,19,347.24,104,0,ERP_v2
ST0216,PL,2024-07-21,fashion,99,1842.69,119,0,ERP_v2
ST1383,CZ,2024-10-13,,16,240.36,82,0,ERP_v1
ST0852,DE,2024-06-02,home_textiles,7,534.92,131,0,ERP_v2
