store_id,market,category,week_start,forecast_units,model_version,generated_at
ST0016,DE,home_textiles,2024-07-07,183,rf_v1.2,2026-04-08 22:12:35.344952
ST0046,PL,fashion,2024-07-07,241,rf_v1.2,2026-04-08 22:12:35.344952
ST0045,DE,lingerie,2024-07-07,185,rf_v1.2,2026-04-08 22:12:35.344952
ST0039,PL,lingerie,2024-07-07,152,rf_v1.2,2026-04-08 22:12:35.344952
ST0028,AT,hard_goods,2024-07-07,110,rf_v1.2,2026-04-08 22:12:35.344952
ST0007,DE,fashion,2024-07-07,278,rf_v1.2,2026-04-08 22:12:35.344952
ST0036,CZ,fashion,2024-07-07,98,rf_v1.2,2026-04-08 22:12:35.344952
ST0042,AT,hard_goods,2024-07-07,130,rf_v1.2,2026-04-08 22:12:35.344952
ST0007,DE,home_textiles,2024-07-07,182,rf_v1.2,2026-04-08 22:12:35.344952
ST0047,DE,home_textiles,2024-07-07,111,rf_v1.2,2026-04-08 22:12:35.344952
ST0034,HU,fashion,2024-07-07,226,rf_v1.2,2026-04-08 22:12:35.344952
ST0021,PL,fashion,2024-07-07,186,rf_v1.2,2026-04-08 22:12:35.344952
ST0019,DE,lingerie,2024-07-07,150,rf_v1.2,2026-04-08 22:12:35.344952
ST0048,AT,hard_goods,2024-07-07,139,rf_v1.2,2026-04-08 22:12:35.344952
ST0001,DE,home_textiles,2024-07-07,113,rf_v1.2,2026-04-08 22:12:35.344952
ST0012,HU,home_textiles,2024-07-07,131,rf_v1.2,2026-04-08 22:12:35.344952
ST0047,DE,lingerie,2024-07-07,143,rf_v1.2,2026-04-08 22:12:35.344952
ST0002,HU,hard_goods,2024-07-07,164,rf_v1.2,2026-04-08 22:12:35.344952
ST0029,PL,lingerie,2024-07-07,77,rf_v1.2,2026-04-08 22:12:35.344952
ST0047,DE,fashion,2024-07-07,236,rf_v1.2,2026-04-08 22:12:35.344952
ST0021,PL,home_textiles,2024-07-07,131,rf_v1.2,2026-04-08 22:12:35.344952
ST0006,DE,hard_goods,2024-07-07,163,rf_v1.2,2026-04-08 22:12:35.344952
ST0050,DE,hard_goods,2024-07-07,58,rf_v1.2,2026-04-08 22:12:35.344952
ST0014,DE,home_textiles,2024-07-07,190,rf_v1.2,2026-04-08 22:12:35.344952
ST0022,DE,fashion,2024-07-07,179,rf_v1.2,2026-04-08 22:12:35.344952
ST0025,AT,lingerie,2024-07-07,245,rf_v1.2,2026-04-08 22:12:35.344952
ST0030,DE,hard_goods,2024-07-07,119,rf_v1.2,2026-04-08 22:12:35.344952
ST0024,DE,lingerie,2024-07-07,147,rf_v1.2,2026-04-08 22:12:35.344952
ST0038,DE,fashion,2024-07-07,295,rf_v1.2,2026-04-08 22:12:35.344952
ST0024,DE,fashion,2024-07-07,196,rf_v1.2,2026-04-08 22:12:35.344952
ST0009,PL,lingerie,2024-07-07,203,rf_v1.2,2026-04-08 22:12:35.344952
ST0011,DE,hard_goods,2024-07-07,115,rf_v1.2,2026-04-08 22:12:35.344952
ST0044,SK,lingerie,2024-07-07,149,rf_v1.2,2026-04-08 22:12:35.344952
ST0045,DE,home_textiles,2024-07-07,216,rf_v1.2,2026-04-08 22:12:35.344952
ST0030,DE,fashion,2024-07-07,189,rf_v1.2,2026-04-08 22:12:35.344952
ST0018,AT,hard_goods,2024-07-07,81,rf_v1.2,2026-04-08 22:12:35.344952
ST0010,PL,lingerie,2024-07-07,231,rf_v1.2,2026-04-08 22:12:35.344952
ST0021,PL,lingerie,2024-07-07,147,rf_v1.2,2026-04-08 22:12:35.344952
ST0027,DE,fashion,2024-07-07,236,rf_v1.2,2026-04-08 22:12:35.344952
ST0017,DE,fashion,2024-07-07,195,rf_v1.2,2026-04-08 22:12:35.344952
ST0014,DE,hard_goods,2024-07-07,213,rf_v1.2,2026-04-08 22:12:35.344952
ST0010,PL,fashion,2024-07-07,265,rf_v1.2,2026-04-08 22:12:35.344952
ST0048,AT,home_textiles,2024-07-07,181,rf_v1.2,2026-04-08 22:12:35.344952
ST0005,DE,home_textiles,2024-07-07,140,rf_v1.2,2026-04-08 22:12:35.344952
ST0040,DE,fashion,2024-07-07,393,rf_v1.2,2026-04-08 22:12:35.344952
ST0039,PL,fashion,2024-07-07,192,rf_v1.2,2026-04-08 22:12:35.344952
ST0029,PL,home_textiles,2024-07-07,99,rf_v1.2,2026-04-08 22:12:35.344952
ST0007,DE,lingerie,2024-07-07,231,rf_v1.2,2026-04-08 22:12:35.344952
ST0050,DE,home_textiles,2024-07-07,70,rf_v1.2,2026-04-08 22:12:35.344952
ST0038,DE,home_textiles,2024-07-07,232,rf_v1.2,2026-04-08 22:12:35.344952
ST0027,DE,lingerie,2024-07-07,154,rf_v1.2,2026-04-08 22:12:35.344952
ST0020,DE,fashion,2024-07-07,110,rf_v1.2,2026-04-08 22:12:35.344952
ST0027,DE,home_textiles,2024-07-07,146,rf_v1.2,2026-04-08 22:12:35.344952
ST0024,DE,hard_goods,2024-07-07,104,rf_v1.2,2026-04-08 22:12:35.344952
ST0025,AT,fashion,2024-07-07,258,rf_v1.2,2026-04-08 22:12:35.344952
ST0003,PL,hard_goods,2024-07-07,191,rf_v1.2,2026-04-08 22:12:35.344952
ST0038,DE,lingerie,2024-07-07,251,rf_v1.2,2026-04-08 22:12:35.344952
ST0025,AT,home_textiles,2024-07-07,235,rf_v1.2,2026-04-08 22:12:35.344952
ST0047,DE,hard_goods,2024-07-07,108,rf_v1.2,2026-04-08 22:12:35.344952
ST0007,DE,hard_goods,2024-07-07,165,rf_v1.2,2026-04-08 22:12:35.344952
ST0034,HU,home_textiles,2024-07-07,119,rf_v1.2,2026-04-08 22:12:35.344952
